Region,Category,Technology,Type,Scenario,Year,Value,2025,2030,2035,2040,2045,2050
AT,Industry,HMI_Biomass,TotalCapacity,TechnoFriendly_globalLimit,0.9128,0.8216,0.6368,2.756833558,4.631374438,4.516774438,4.455574438,4.440274438
AT,Industry,HMI_HardCoal,ResidualCapacity,TechnoFriendly_globalLimit,0.1309,0.1179,0.0914,0.0549,0.0275,0.011,0.0022,
AT,Industry,HMI_HardCoal,TotalCapacity,TechnoFriendly_globalLimit,0.1309,0.1179,0.0914,0.0549,0.0275,0.011,0.0022,
AT,Industry,HMI_Steam_Electric,NewCapacity,TechnoFriendly_globalLimit,,0.0011,1.39488625,3.7141244,,0.906007194,0.814768559,0.078487976
AT,Industry,HMI_Steam_Electric,ResidualCapacity,TechnoFriendly_globalLimit,0.0111,0.01,0.0078,0.0047,0.0024,0.001,,
AT,Industry,HMI_Steam_Electric,TotalCapacity,TechnoFriendly_globalLimit,0.0111,0.0111,1.40378625,5.11481065,5.11251065,6.017117843,6.830886402,6.909374378
AT,Industry,HMI_Oil,ResidualCapacity,TechnoFriendly_globalLimit,0.1732,0.1559,0.1209,0.0726,0.0363,0.0146,0.003,
AT,Industry,HMI_Oil,TotalCapacity,TechnoFriendly_globalLimit,0.1732,0.1559,0.1209,0.0726,0.0363,0.0146,0.003,
AT,Industry,HHI_BF_BOF,ResidualCapacity,TechnoFriendly_globalLimit,7.6782,6.9104,5.3556,3.2134,1.6067,0.6427,0.1286,
AT,Industry,HHI_BF_BOF,TotalCapacity,TechnoFriendly_globalLimit,7.6782,6.9104,5.3556,3.2134,1.6067,0.6427,0.1286,
AT,Industry,HHI_DRI_EAF,ResidualCapacity,TechnoFriendly_globalLimit,0.8143,0.7329,0.568,0.3408,0.1704,0.0682,0.0137,
AT,Industry,HHI_DRI_EAF,TotalCapacity,TechnoFriendly_globalLimit,0.8143,0.7329,0.568,0.3408,0.1704,0.0682,0.0137,
AT,Industry,HHI_Scrap_EAF,NewCapacity,TechnoFriendly_globalLimit,,,0.036578324,2.100658693,0.648068942,0.419137053,,
AT,Industry,HHI_Scrap_EAF,ResidualCapacity,TechnoFriendly_globalLimit,0.1832,0.1649,0.1278,0.0767,0.0384,0.0154,0.0031,
AT,Industry,HHI_Scrap_EAF,TotalCapacity,TechnoFriendly_globalLimit,0.1832,0.1649,0.164378324,2.213937017,2.823705959,3.219843012,3.207543012,3.167864688
AT,Industry,HHI_Molten_Electrolysis,NewCapacity,TechnoFriendly_globalLimit,,,,,0.46732099,0.197574316,0.177586056,0.171390554
AT,Industry,HHI_Molten_Electrolysis,TotalCapacity,TechnoFriendly_globalLimit,,,,,0.46732099,0.664895306,0.842481361,1.013871916
AT,Industry,HLI_H2_Boiler,NewCapacity,TechnoFriendly_globalLimit,,,,0.115001735,1.22907639,0.858358809,0.167372148,0.074242326
AT,Industry,HLI_H2_Boiler,TotalCapacity,TechnoFriendly_globalLimit,,,,0.115001735,1.344078125,2.202436934,2.369809082,2.444051407
AT,Buildings,HLR_Gas_Boiler,NewCapacity,TechnoFriendly_globalLimit,,,0.046363971,3.450246576,2.019332264,,,
AT,Buildings,HLR_Gas_Boiler,ResidualCapacity,TechnoFriendly_globalLimit,21.8238,19.6415,15.2222,9.1334,4.5667,1.8267,0.3654,
AT,Buildings,HLR_Gas_Boiler,TotalCapacity,TechnoFriendly_globalLimit,21.8238,19.6415,15.26856397,12.63001055,10.08264281,7.34264281,5.88134281,5.51594281
AT,Buildings,HLR_Biomass,NewCapacity,TechnoFriendly_globalLimit,,,,0.330655975,0.254116604,0.107584113,0.008906496,
AT,Buildings,HLR_Biomass,ResidualCapacity,TechnoFriendly_globalLimit,2.0737,1.8664,1.4465,0.8679,0.434,0.1736,0.0348,
AT,Buildings,HLR_Biomass,TotalCapacity,TechnoFriendly_globalLimit,2.0737,1.8664,1.4465,1.198555975,1.018772579,0.865956692,0.736063188,0.701263188
AT,Buildings,HLR_Hardcoal,ResidualCapacity,TechnoFriendly_globalLimit,0.0194,0.0175,0.0136,0.0082,0.0041,0.0017,0.0004,
