Region,Category,Emission,Technology,Timeslice,Scenario,Year,Value,2025,2030,2035,2040,2045,2050
Gondor,Industry,CO2,HHI_BF_BOF_CCS,Emissions,MiddleEarth_globalLimit,,,0.37145817,5.982993203,7.493950731,6.947367128,6.394164675,1.100319818
Gondor,Industry,CO2,HMI_Gas_CCS,Emissions,MiddleEarth_globalLimit,,,,,0.965757289,3.947268375,5.269208042,1.952906827
Gondor,Industry,CO2,HMI_HardCoal_CCS,Emissions,MiddleEarth_globalLimit,,,25.82422257,25.59277573,23.01653,17.26718067,11.87389677,
Gondor,Buildings,CO2,HLR_Gas_Boiler,Emissions,MiddleEarth_globalLimit,126.3428206,120.7785428,132.5644736,123.641631,111.3513893,103.0293157,71.92106544,64.47507212
Gondor,Buildings,CO2,HLR_Hardcoal,Emissions,MiddleEarth_globalLimit,3.1490448,3.714072613,0.05333837,0.105941038,0.052614492,0.010449312,0.002075145,
Gondor,Buildings,CO2,HLR_Hardcoal_CHP,Emissions,MiddleEarth_globalLimit,20.31641806,17.15147947,12.61637073,1.990179729,0.339363471,0.111140713,0.013392263,
Gondor,Buildings,CO2,HLR_Lignite_CHP,Emissions,MiddleEarth_globalLimit,5.942709677,5.892258639,3.898599664,1.160077473,0.099282872,0.019727119,0.003920751,
Gondor,Buildings,CO2,HLR_Oil_Boiler,Emissions,MiddleEarth_globalLimit,51.2545714,34.21392551,0.797289212,1.583581331,0.726025654,0.170019725,0.033770857,
Gondor,Transportation,CO2,FRT_Rail_Conv,Emissions,MiddleEarth_globalLimit,2.872168962,2.322401828,1.840247065,2.127377914,1.892002116,1.751637963,1.339316315,1.297150292
Gondor,Transportation,CO2,FRT_Road_ICE,Emissions,MiddleEarth_globalLimit,103.2144891,106.5978457,94.67767179,55.87104334,15.28568847,4.916656959,,
Gondor,Transportation,CO2,FRT_Ship_Conv,Emissions,MiddleEarth_globalLimit,2.842198693,3.265612273,3.176966102,3.265244756,2.422496405,1.5248848,0.778086869,0.86274588
Gondor,Transportation,CO2,PSNG_Air_Conv,Emissions,MiddleEarth_globalLimit,5.937015811,5.646783671,0.566316076,0.482717391,0.236330309,0.074787521,,
Gondor,Transportation,CO2,PSNG_Rail_Conv,Emissions,MiddleEarth_globalLimit,1.742071132,1.270536766,0.712854495,0.415375762,0.201584686,0.091255117,,
Gondor,Transportation,CO2,PSNG_Road_ICE,Emissions,MiddleEarth_globalLimit,117.467905,108.8041661,92.23420858,49.44703574,23.41899388,7.951481816,2.950337472,2.796257952
Gondor,Transportation,CO2,PSNG_Road_PHEV,Emissions,MiddleEarth_globalLimit,,,,4.936036135,5.176588842,9.986734809,8.39437736,8.448002518
Rohan,Power,CO2,P_Coal_Hardcoal,Emissions,MiddleEarth_globalLimit,6.785704249,5.604076513,3.204278494,0.760020141,0.038322101,0.002953123,,
Rohan,Power,CO2,P_Gas,Emissions,MiddleEarth_globalLimit,1.259443925,1.027803343,1.569250059,29.13843138,50.36185961,48.48046223,40.38247962,34.57314176
Rohan,Power,CO2,P_Oil,Emissions,MiddleEarth_globalLimit,8.658658947,7.30979303,0.485014583,0.963339309,1.913298905,0.243405818,,
Rohan,Power,CO2,HLR_Gas_CHP,Emissions,MiddleEarth_globalLimit,,,,1.093741896,1.197330388,1.01038125,0.906193205,0.807392681
Rohan,Power,CO2,HLI_Gas_CHP,Emissions,MiddleEarth_globalLimit,,,6.530375816,12.90007881,14.69100289,14.42110989,14.0638023,13.28864462
Rohan,Industry,CO2,HLI_Gas_Boiler,Emissions,MiddleEarth_globalLimit,14.56925775,13.84678094,9.0575725,2.761134582,0.933479785,1.387841357,2.044931957,1.510065386
Rohan,Industry,CO2,HLI_Gas_CHP,Emissions,MiddleEarth_globalLimit,,,6.530375816,12.90007881,14.69100289,14.42110989,14.0638023,13.28864462
Rohan,Industry,CO2,HLI_Hardcoal,Emissions,MiddleEarth_globalLimit,0.614872036,0.672961667,0.001102293,0.002189381,0.004348354,0.001727178,0.000344974,
Rohan,Industry,CO2,HLI_Oil_Boiler,Emissions,MiddleEarth_globalLimit,2.2152086,2.14771943,0.003965597,0.007876496,0.015643596,0.006216395,0.001239914,
Rohan,Industry,CO2,HMI_Gas,Emissions,MiddleEarth_globalLimit,52.64195461,49.48845349,13.37420483,10.61453555,5.782991173,3.282058534,1.718173174,0.634920339
Rohan,Industry,CO2,HMI_HardCoal,Emissions,MiddleEarth_globalLimit,9.797879712,5.213203107,0.014331149,0.028464626,0.056533911,,,
Rohan,Industry,CO2,HHI_BF_BOF,Emissions,MiddleEarth_globalLimit,38.67877083,25.85509643,20.93376791,16.18125616,7.780932089,2.995567579,0.697102731,
Rohan,Industry,CO2,HHI_DRI_EAF,Emissions,MiddleEarth_globalLimit,,,,0.18352431,0.156701202,0.067220129,0.015623991,
