Region,Category,Technology,Type,Scenario,Year,Value,2025,2030,2035,2040,2045,2050
AT,Power,RES_PV_Utility_Avg,UnusedCapacity,GradualDevelopment_globalLimit,-0.110186752,-0.110186752,-0.106340561,-0.105597848,-0.207811714,-0.873304017,-1.491861509,-1.491861509
AT,Power,RES_PV_Utility_Avg,UnusedPeakCapacity,GradualDevelopment_globalLimit,0.925720533,0.909733403,0.877978144,0.871846095,1.715753057,7.210248216,12.31723613,12.31723613
AT,Power,RES_PV_Utility_Avg,UnusedCapacityShare,GradualDevelopment_globalLimit,-0.112415424,-0.114390948,-0.114390948,-0.114390948,-0.114390948,-0.114390948,-0.114390948,-0.114390948
AT,Power,RES_PV_Utility_Avg,PotentialUsed,GradualDevelopment_globalLimit,0.075156514,0.073858566,0.071280451,0.070782608,0.13929692,0.585378744,1,1
AT,Power,RES_PV_Utility_Inf,NewCapacity,GradualDevelopment_globalLimit,,,,,,,,0.343108266
AT,Power,RES_PV_Utility_Inf,TotalCapacity,GradualDevelopment_globalLimit,,,,,,,,0.343108266
AT,Power,RES_PV_Utility_Inf,UnusedCapacity,GradualDevelopment_globalLimit,,,,,,,,-0.032322277
AT,Power,RES_PV_Utility_Inf,UnusedPeakCapacity,GradualDevelopment_globalLimit,,,,,,,,0.324046695
AT,Power,RES_PV_Utility_Inf,UnusedCapacityShare,GradualDevelopment_globalLimit,,,,,,,,-0.09420431
AT,Power,RES_PV_Utility_Inf,PotentialUsed,GradualDevelopment_globalLimit,,,,,,,,0.026308394
AT,Power,RES_PV_Utility_Opt,NewCapacity,GradualDevelopment_globalLimit,,,6.520889714,4.548967501,1.971922213,,,6.520889714
AT,Power,RES_PV_Utility_Opt,TotalCapacity,GradualDevelopment_globalLimit,,,6.520889714,11.06985721,13.04177943,13.04177943,13.04177943,13.04177943
AT,Power,RES_PV_Utility_Opt,UnusedCapacity,GradualDevelopment_globalLimit,,,-0.877565594,-1.489754657,-1.755131187,-1.755131187,-1.755131187,-1.755131187
AT,Power,RES_PV_Utility_Opt,UnusedPeakCapacity,GradualDevelopment_globalLimit,,,6.158618063,10.45486515,12.31723613,12.31723613,12.31723613,12.31723613
AT,Power,RES_PV_Utility_Opt,UnusedCapacityShare,GradualDevelopment_globalLimit,,,-0.134577586,-0.134577586,-0.134577586,-0.134577586,-0.134577586,-0.134577586
AT,Power,RES_PV_Utility_Opt,PotentialUsed,GradualDevelopment_globalLimit,,,0.5,0.848799604,1,1,1,1
