Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050
Signy\SocietalCommitment,Hydro,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.000
Signy\SocietalCommitment,PV, 0.00, 0.00, 0.00, 0.00,12.74,13.17,15.46,17.291
Signy\SocietalCommitment,Thermal, 1.75, 1.61, 1.46, 1.34, 1.28, 1.13, 1.13, 0.079
Signy\SocietalCommitment,Wind Offshore Deep, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.000
Signy\SocietalCommitment,Wind Offshore Transitional, 0.00, 0.00, 0.00, 0.00, 1.19, 1.19, 1.19, 1.365
Signy\SocietalCommitment,Wind Onshore, 1.20, 8.18,16.32,22.91,27.91,27.73,26.89,25.715
Signy\SocietalCommitment,Sum,33.95,40.79,48.78,55.25,74.12,74.23,75.68,75.450
