Region,Category,Technology,Type,Scenario,Year,Value,2025,2030,2035,2040,2045,2050
AT,Industry,HMI_Gas,TotalCapacity,SocietalCommitment_globalLimit,17.0363,15.3327,11.8829,10.20699004,6.642090045,4.503190045,3.362390045,3.077190045
AT,Industry,HMI_Biomass,NewCapacity,SocietalCommitment_globalLimit,,,,0.238353254,0.212677583,,0.017489087,
AT,Industry,HMI_Biomass,ResidualCapacity,SocietalCommitment_globalLimit,0.9128,0.8216,0.6368,0.3821,0.1911,0.0765,0.0153,
AT,Industry,HMI_Biomass,TotalCapacity,SocietalCommitment_globalLimit,0.9128,0.8216,0.6368,0.620453254,0.642130838,0.527530838,0.483819925,0.468519925
AT,Industry,HMI_HardCoal,ResidualCapacity,SocietalCommitment_globalLimit,0.1309,0.1179,0.0914,0.0549,0.0275,0.011,0.0022,
AT,Industry,HMI_HardCoal,TotalCapacity,SocietalCommitment_globalLimit,0.1309,0.1179,0.0914,0.0549,0.0275,0.011,0.0022,
AT,Industry,HMI_Steam_Electric,NewCapacity,SocietalCommitment_globalLimit,,0.0011,1.04336631,4.821088009,,2.927915292,0.44557746,
AT,Industry,HMI_Steam_Electric,ResidualCapacity,SocietalCommitment_globalLimit,0.0111,0.01,0.0078,0.0047,0.0024,0.001,,
AT,Industry,HMI_Steam_Electric,TotalCapacity,SocietalCommitment_globalLimit,0.0111,0.0111,1.05226631,5.870254319,5.867954319,8.794469611,9.23904707,9.23904707
AT,Industry,HMI_Oil,ResidualCapacity,SocietalCommitment_globalLimit,0.1732,0.1559,0.1209,0.0726,0.0363,0.0146,0.003,
AT,Industry,HMI_Oil,TotalCapacity,SocietalCommitment_globalLimit,0.1732,0.1559,0.1209,0.0726,0.0363,0.0146,0.003,
AT,Industry,HHI_BF_BOF,ResidualCapacity,SocietalCommitment_globalLimit,7.6782,6.9104,5.3556,3.2134,1.6067,0.6427,0.1286,
AT,Industry,HHI_BF_BOF,TotalCapacity,SocietalCommitment_globalLimit,7.6782,6.9104,5.3556,3.2134,1.6067,0.6427,0.1286,
AT,Industry,HHI_DRI_EAF,ResidualCapacity,SocietalCommitment_globalLimit,0.8143,0.7329,0.568,0.3408,0.1704,0.0682,0.0137,
AT,Industry,HHI_DRI_EAF,TotalCapacity,SocietalCommitment_globalLimit,0.8143,0.7329,0.568,0.3408,0.1704,0.0682,0.0137,
AT,Industry,HHI_Scrap_EAF,NewCapacity,SocietalCommitment_globalLimit,,,0.421938975,1.679638095,0.297122021,0.758318692,,
AT,Industry,HHI_Scrap_EAF,ResidualCapacity,SocietalCommitment_globalLimit,0.1832,0.1649,0.1278,0.0767,0.0384,0.0154,0.0031,
AT,Industry,HHI_Scrap_EAF,TotalCapacity,SocietalCommitment_globalLimit,0.1832,0.1649,0.549738975,2.178277069,2.43709909,3.172417782,3.160117782,2.735078807
AT,Industry,HHI_Molten_Electrolysis,NewCapacity,SocietalCommitment_globalLimit,,,,0.155538314,0.24225812,0.230656184,0.201811704,0.186076229
AT,Industry,HHI_Molten_Electrolysis,TotalCapacity,SocietalCommitment_globalLimit,,,,0.155538314,0.397796434,0.628452617,0.830264321,1.01634055
AT,Industry,HLI_H2_Boiler,NewCapacity,SocietalCommitment_globalLimit,,,,,,1.060862735,0.395345831,0.294924418
AT,Industry,HLI_H2_Boiler,TotalCapacity,SocietalCommitment_globalLimit,,,,,,1.060862735,1.456208566,1.751132984
AT,Buildings,HLR_Gas_Boiler,NewCapacity,SocietalCommitment_globalLimit,,,,,2.105358103,,,0.661092022
AT,Buildings,HLR_Gas_Boiler,ResidualCapacity,SocietalCommitment_globalLimit,21.8238,19.6415,15.2222,9.1334,4.5667,1.8267,0.3654,
