Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050
GradualDevelopment,Hydro,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.000
GradualDevelopment,PV, 0.00, 0.00, 5.20, 8.41,13.00,29.79,29.82,29.825
GradualDevelopment,Thermal, 1.75, 1.61, 1.46, 1.34, 1.28, 1.13, 1.13, 0.079
GradualDevelopment,Wind Offshore Deep, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.000
GradualDevelopment,Wind Offshore Transitional, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.007
GradualDevelopment,Wind Onshore, 1.20, 1.20, 8.16,14.96,14.81,14.68,14.68,14.678
GradualDevelopment,Sum,33.95,33.81,45.83,55.71,60.10,76.60,76.63,75.588
