Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050
SocietalCommitment_globalLimit,HLI_Biomass_CHP_CCS, 0.00, 0.00, 0.00, 0.00, 0.00,  0.00,  0.00,  0.00
SocietalCommitment_globalLimit,Hydro, 2.70, 9.27, 9.25,13.61,13.59, 13.30, 13.56, 13.46
SocietalCommitment_globalLimit,PV Rooftop, 0.00, 0.00, 6.21, 6.21, 6.21, 47.99, 47.99, 47.99
SocietalCommitment_globalLimit,PV Utility, 1.35, 1.59, 6.38, 6.45, 6.38, 10.89, 10.64, 10.75
SocietalCommitment_globalLimit,Thermal,31.37,33.58,26.41,19.24,18.06, 26.15, 18.33, 15.58
SocietalCommitment_globalLimit,Wind Offshore, 0.00, 0.00, 0.00, 0.00, 9.28, 19.76, 19.76, 19.76
SocietalCommitment_globalLimit,Wind Onshore, 1.20, 1.20, 1.20, 1.17, 1.00,  0.85,  0.85,  0.85
SocietalCommitment_globalLimit,Sum,36.61,45.64,49.45,46.68,54.53,118.93,111.13,108.39
