Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050
SocietalCommitment_globalLimit,HLI_Biomass_CHP_CCS,0.000,0.000,0.00, 0.00,0.00, 0.00, 0.00, 0.00
SocietalCommitment_globalLimit,Hydro,3.498,3.581,3.58, 3.58,3.58, 3.58, 3.58, 3.58
SocietalCommitment_globalLimit,PV Rooftop,0.000,0.000,1.33, 1.33,1.33, 1.33, 1.33, 1.33
SocietalCommitment_globalLimit,PV Utility,0.106,0.106,0.60, 1.48,2.23, 2.58, 2.59, 2.59
SocietalCommitment_globalLimit,Thermal,0.822,0.722,1.14, 3.39,0.15, 0.41, 0.35, 0.31
SocietalCommitment_globalLimit,Wind Offshore,0.000,0.000,0.00, 0.00,0.00, 0.00, 0.00, 0.00
SocietalCommitment_globalLimit,Wind Onshore,0.099,0.099,0.85, 1.92,2.52, 2.74, 2.74, 2.74
SocietalCommitment_globalLimit,Sum,4.526,4.508,7.50,11.70,9.81,10.65,10.60,10.55
