Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050
SocietalCommitment_globalLimit,HLI_Biomass_CHP_CCS, 0.000, 0.000, 0.00, 0.00, 0.00,  0.00,  0.00,  0.00
SocietalCommitment_globalLimit,Hydro, 0.248, 0.342, 0.34, 0.43, 0.43,  0.42,  0.41,  0.41
SocietalCommitment_globalLimit,PV Rooftop, 0.000, 0.000, 8.57, 8.57,16.36, 49.74, 49.74, 49.74
SocietalCommitment_globalLimit,PV Utility, 0.032, 0.032, 6.04, 8.70,12.04, 12.04, 12.21, 20.87
SocietalCommitment_globalLimit,Thermal,23.449,24.359,20.71,24.09,14.18, 23.64, 21.76, 21.12
SocietalCommitment_globalLimit,Wind Offshore, 0.000, 0.000, 0.00, 0.00, 0.00,  0.00,  0.00,  0.00
SocietalCommitment_globalLimit,Wind Onshore, 0.545, 0.545,13.56,23.18,36.88, 57.23, 57.23, 48.70
SocietalCommitment_globalLimit,Sum,24.274,25.278,49.23,64.98,79.90,143.08,141.36,140.86
