Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050
SocietalCommitment_globalLimit,HLI_Biomass_CHP_CCS,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00
SocietalCommitment_globalLimit,Hydro,  2.19,  4.30,  6.41,  6.29,  6.13,   5.91,   5.65,   5.44
SocietalCommitment_globalLimit,PV Rooftop,  0.00,  0.00,  7.45, 32.19, 92.35, 138.16, 140.25, 167.39
SocietalCommitment_globalLimit,PV Utility,  0.00,  0.00, 37.37, 74.74, 74.74,  74.74,  74.74,  74.74
SocietalCommitment_globalLimit,Thermal,295.97,265.26,199.31,128.53, 62.49,  65.64,  55.16,  54.68
SocietalCommitment_globalLimit,Wind Offshore, 19.08, 19.08, 19.06, 61.54,184.02, 356.28, 356.28, 356.28
SocietalCommitment_globalLimit,Wind Onshore, 11.27,143.81,276.02,375.22,477.13, 477.13, 476.89, 451.33
SocietalCommitment_globalLimit,Sum,328.51,432.45,545.62,678.51,896.86,1117.86,1108.98,1109.87
