Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050
SocietalCommitment_globalLimit,HLI_Biomass_CHP_CCS,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
SocietalCommitment_globalLimit,Hydro, 55.21, 72.59, 72.59,131.59,134.71,134.71,134.71,135.38
SocietalCommitment_globalLimit,PV Rooftop,  0.00,  0.00,  0.00,  0.00,  0.00, 62.12, 62.29, 62.29
SocietalCommitment_globalLimit,PV Utility,  0.24, 70.61, 70.61, 90.95,135.37,266.59,266.50,300.26
SocietalCommitment_globalLimit,Thermal,147.90,126.59, 38.66, 11.47,  6.61, 41.61, 38.42, 34.20
SocietalCommitment_globalLimit,Wind Offshore,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
SocietalCommitment_globalLimit,Wind Onshore, 10.19,135.95,301.65,444.93,480.63,480.63,480.63,446.26
SocietalCommitment_globalLimit,Sum,213.55,405.74,483.50,678.94,757.31,985.66,982.55,978.39
