Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050
SocietalCommitment_globalLimit,HLI_Biomass_CHP_CCS, 0.000, 0.000, 0.00,  0.000,  0.00,  0.00,  0.00,  0.00
SocietalCommitment_globalLimit,Hydro,13.643,19.562,19.56, 24.275, 24.13, 24.18, 24.15, 22.52
SocietalCommitment_globalLimit,PV Rooftop, 0.000, 0.000, 0.00,  0.000,  0.63,  5.39,  6.44, 11.58
SocietalCommitment_globalLimit,PV Utility, 0.059, 0.059, 0.05,  0.042,  4.90,  9.77,  9.77,  9.76
SocietalCommitment_globalLimit,Thermal,41.878,40.201,31.39, 17.765,  5.54,  4.72,  4.09,  3.49
SocietalCommitment_globalLimit,Wind Offshore, 0.000, 0.000, 0.00,  0.000,  0.00, 15.13, 15.13, 15.13
SocietalCommitment_globalLimit,Wind Onshore, 1.924, 2.235,34.50, 59.417, 75.95, 76.96, 76.64, 73.73
SocietalCommitment_globalLimit,Sum,57.503,62.057,85.51,101.499,111.16,136.14,136.22,136.22
