Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050,Region
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,2.97,46.57,FR
GradualDevelopment,Wind Onshore,15.83,15.83,116.23,114.33,112.26,278.55,327.71,284.7,FR
GradualDevelopment,Sum,595.39,640.47,761.39,900.59,1116.38,1213.98,1292.39,1243.6,FR
GradualDevelopment,Hydro,9.74,9.74,9.74,9.72,9.72,9.74,9.72,9.74,GR
GradualDevelopment,PV,3.7,13.63,17.09,29.07,62.7,81.33,94.11,109.66,GR
GradualDevelopment,Thermal,34.39,29.27,33.0,23.61,10.16,0.14,0.12,0.55,GR
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,17.85,62.14,62.14,GR
GradualDevelopment,Wind Onshore,3.87,4.58,29.89,53.83,106.03,105.69,105.38,89.83,GR
GradualDevelopment,Sum,51.69,57.22,89.72,116.23,188.61,214.74,271.48,271.93,GR
GradualDevelopment,Hydro,8.72,8.72,11.42,14.99,14.81,14.81,14.809,14.81,HR
GradualDevelopment,PV,0.0,0.0,3.13,4.98,6.27,7.78,9.093,9.11,HR
GradualDevelopment,Thermal,3.17,2.73,3.86,0.34,0.13,0.11,0.094,0.08,HR
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HR
GradualDevelopment,Wind Onshore,0.37,0.37,0.37,0.33,0.28,0.24,0.241,0.24,HR
GradualDevelopment,Sum,12.26,11.82,18.79,20.64,21.49,22.94,24.237,24.24,HR
GradualDevelopment,Hydro,0.248,0.248,0.34,0.43,0.43,0.43,0.41,0.41,HU
GradualDevelopment,PV,0.032,0.032,6.04,11.44,12.04,17.13,22.23,26.44,HU
GradualDevelopment,Thermal,23.449,24.359,34.28,41.69,78.68,71.05,70.88,67.3,HU
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HU
GradualDevelopment,Wind Onshore,0.545,0.545,6.4,6.36,6.29,14.59,41.4,37.33,HU
GradualDevelopment,Sum,24.274,25.185,47.06,59.93,97.44,103.2,134.93,131.48,HU
GradualDevelopment,Hydro,1.44,1.44,1.35,1.33,1.27,1.27,1.21,1.16,IE
GradualDevelopment,PV,0.0,0.0,0.0,0.0,0.0,2.95,6.38,9.8,IE
GradualDevelopment,Thermal,21.07,17.99,10.65,7.11,3.17,0.29,0.25,0.22,IE
