Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050
MiddleEarth,Hydro,  0.00, 0.00, 0.00, 8.74, 9.55, 9.46, 9.25, 9.25
MiddleEarth,PV,  0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MiddleEarth,Thermal,101.24,86.61,51.53,13.78, 7.72, 6.17, 4.94, 1.69
MiddleEarth,Wind Offshore Deep,  0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MiddleEarth,Wind Offshore Transitional,  0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MiddleEarth,Wind Onshore,  3.07, 3.07, 4.04, 5.40, 4.59, 4.68, 4.90, 4.90
MiddleEarth,Sum,104.31,89.68,55.57,27.92,21.86,20.32,19.08,15.83
