Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050
MiddleEarth,Hydro, 3.651, 3.589, 3.550, 3.525, 3.515, 3.47, 3.38,3.38
MiddleEarth,PV, 0.027, 0.027, 0.027, 0.027, 0.027, 0.00, 0.00,0.00
MiddleEarth,Thermal,37.768,28.809,18.052,10.456, 8.510, 6.92, 4.57,2.59
MiddleEarth,Wind Offshore Deep, 0.000, 0.000, 0.000, 0.000, 0.000, 0.00, 0.00,0.00
MiddleEarth,Wind Offshore Transitional, 0.000, 0.000, 0.000, 0.000, 0.000, 0.00, 0.00,0.00
MiddleEarth,Wind Onshore, 5.559, 4.864, 4.857, 4.751, 2.917, 2.88, 2.98,2.98
MiddleEarth,Sum,47.006,37.289,26.486,18.760,14.969,13.27,10.94,8.95
