Region,Category,Technology,Type,Scenario,Year,Value,2025,2030,2035,2040,2045,2050
AT,Industry,HMI_Biomass,TotalCapacity,DirectedTransition_globalLimit,0.9128,0.8216,0.6368,0.775566568,0.826136591,0.711536591,0.650336591,0.635036591
AT,Industry,HMI_HardCoal,ResidualCapacity,DirectedTransition_globalLimit,0.1309,0.1179,0.0914,0.0549,0.0275,0.011,0.0022,
AT,Industry,HMI_HardCoal,TotalCapacity,DirectedTransition_globalLimit,0.1309,0.1179,0.0914,0.0549,0.0275,0.011,0.0022,
AT,Industry,HMI_Steam_Electric,NewCapacity,DirectedTransition_globalLimit,,0.107813586,0.889051645,9.49621672,,,,
AT,Industry,HMI_Steam_Electric,ResidualCapacity,DirectedTransition_globalLimit,0.0111,0.01,0.0078,0.0047,0.0024,0.001,,
AT,Industry,HMI_Steam_Electric,TotalCapacity,DirectedTransition_globalLimit,0.0111,0.117813586,1.004665231,10.49778195,10.49548195,10.49408195,10.49308195,10.49308195
AT,Industry,HMI_Oil,ResidualCapacity,DirectedTransition_globalLimit,0.1732,0.1559,0.1209,0.0726,0.0363,0.0146,0.003,
AT,Industry,HMI_Oil,TotalCapacity,DirectedTransition_globalLimit,0.1732,0.1559,0.1209,0.0726,0.0363,0.0146,0.003,
AT,Industry,HHI_BF_BOF,ResidualCapacity,DirectedTransition_globalLimit,7.6782,6.9104,5.3556,3.2134,1.6067,0.6427,0.1286,
AT,Industry,HHI_BF_BOF,TotalCapacity,DirectedTransition_globalLimit,7.6782,6.9104,5.3556,3.2134,1.6067,0.6427,0.1286,
AT,Industry,HHI_DRI_EAF,ResidualCapacity,DirectedTransition_globalLimit,0.8143,0.7329,0.568,0.3408,0.1704,0.0682,0.0137,
AT,Industry,HHI_DRI_EAF,TotalCapacity,DirectedTransition_globalLimit,0.8143,0.7329,0.568,0.3408,0.1704,0.0682,0.0137,
AT,Industry,HHI_Scrap_EAF,NewCapacity,DirectedTransition_globalLimit,,,2.202521749,,0.250325688,0.92426703,,1.478228189
AT,Industry,HHI_Scrap_EAF,ResidualCapacity,DirectedTransition_globalLimit,0.1832,0.1649,0.1278,0.0767,0.0384,0.0154,0.0031,
AT,Industry,HHI_Scrap_EAF,TotalCapacity,DirectedTransition_globalLimit,0.1832,0.1649,2.330321749,2.279221749,2.491247437,3.392514467,3.380214467,2.652820907
AT,Industry,HHI_Molten_Electrolysis,NewCapacity,DirectedTransition_globalLimit,,0.268417924,,,0.227273971,0.219628894,0.462154412,0.181181004
AT,Industry,HHI_Molten_Electrolysis,TotalCapacity,DirectedTransition_globalLimit,,0.268417924,0.268417924,0.268417924,0.495691895,0.71532079,0.909057277,1.090238282
AT,Industry,HLI_H2_Boiler,NewCapacity,DirectedTransition_globalLimit,,,,0.336253475,1.112840249,0.563862369,0.358774554,
AT,Industry,HLI_H2_Boiler,TotalCapacity,DirectedTransition_globalLimit,,,,0.336253475,1.449093724,2.012956093,2.371730648,2.371730648
AT,Buildings,HLR_Gas_Boiler,NewCapacity,DirectedTransition_globalLimit,,,,,,,0.127819074,0.858619074
AT,Buildings,HLR_Gas_Boiler,ResidualCapacity,DirectedTransition_globalLimit,21.8238,19.6415,15.2222,9.1334,4.5667,1.8267,0.3654,
AT,Buildings,HLR_Gas_Boiler,TotalCapacity,DirectedTransition_globalLimit,21.8238,19.6415,15.2222,9.1334,4.5667,1.8267,0.493219074,0.986438149
AT,Buildings,HLR_Biomass,NewCapacity,DirectedTransition_globalLimit,,,,0.330655975,0.292470395,0.069230322,0.008906496,
AT,Buildings,HLR_Biomass,ResidualCapacity,DirectedTransition_globalLimit,2.0737,1.8664,1.4465,0.8679,0.434,0.1736,0.0348,
AT,Buildings,HLR_Biomass,TotalCapacity,DirectedTransition_globalLimit,2.0737,1.8664,1.4465,1.198555975,1.05712637,0.865956692,0.736063188,0.701263188
AT,Buildings,HLR_Hardcoal,ResidualCapacity,DirectedTransition_globalLimit,0.0194,0.0175,0.0136,0.0082,0.0041,0.0017,0.0004,
AT,Buildings,HLR_Hardcoal,TotalCapacity,DirectedTransition_globalLimit,0.0194,0.0175,0.0136,0.0082,0.0041,0.0017,0.0004,
AT,Buildings,HLR_Direct_Electric,NewCapacity,DirectedTransition_globalLimit,,0.302799289,0.067403286,0.589860898,0.199510217,1.177836408,,
AT,Buildings,HLR_Direct_Electric,ResidualCapacity,DirectedTransition_globalLimit,0.5925,0.5333,0.4134,0.2481,0.1241,0.0497,0.01,
AT,Buildings,HLR_Direct_Electric,TotalCapacity,DirectedTransition_globalLimit,0.5925,0.836099289,0.783602575,1.208163473,1.28367369,2.387110098,2.347410098,2.034610809
AT,Buildings,HLR_Heatpump_Aerial,NewCapacity,DirectedTransition_globalLimit,,2.413288769,2.048397517,,4.64538255,,,
AT,Buildings,HLR_Heatpump_Aerial,TotalCapacity,DirectedTransition_globalLimit,,2.413288769,4.461686286,4.461686286,9.107068835,9.107068835,6.693780066,4.64538255
AT,Buildings,HLR_Heatpump_Ground,NewCapacity,DirectedTransition_globalLimit,,,0.17124936,2.687851557,,,,
AT,Buildings,HLR_Heatpump_Ground,TotalCapacity,DirectedTransition_globalLimit,,,0.17124936,2.859100917,2.859100917,2.859100917,2.859100917,2.687851557
AT,Buildings,HLR_Oil_Boiler,ResidualCapacity,DirectedTransition_globalLimit,1.4987,1.3489,1.0454,0.6273,0.3137,0.1255,0.0251,
AT,Buildings,HLR_Oil_Boiler,TotalCapacity,DirectedTransition_globalLimit,1.4987,1.3489,1.0454,0.6273,0.3137,0.1255,0.0251,
AT,Buildings,HLR_H2_Boiler,NewCapacity,DirectedTransition_globalLimit,,,,,0.226576587,1.810260919,,0.05780558
AT,Buildings,HLR_H2_Boiler,TotalCapacity,DirectedTransition_globalLimit,,,,,0.226576587,2.036837506,2.036837506,2.094643086
AT,Transportation,FRT_Rail_Conv,ResidualCapacity,DirectedTransition_globalLimit,42.257,31.6928,22.185,13.311,6.6555,2.6622,,
AT,Transportation,FRT_Rail_Conv,TotalCapacity,DirectedTransition_globalLimit,42.257,31.6928,22.185,13.311,6.6555,2.6622,,
AT,Transportation,FRT_Rail_Electric,NewCapacity,DirectedTransition_globalLimit,,,,5.456909656,16.53896393,10.6725552,8.20967412,1.58741496
