Region,Category,Emission,Technology,Timeslice,Scenario,Year,Value,2025,2030,2035,2040,2045,2050
CH,Transportation,CO2,FRT_Road_ICE,Emissions,TechnoFriendly_globalLimit,25.14467377,24.32880383,19.29784846,12.26042045,1.050346052,,,
CH,Transportation,CO2,FRT_Road_PHEV,Emissions,TechnoFriendly_globalLimit,,,0.053174603,0.144197091,0.141965792,,,
CH,Transportation,CO2,FRT_Ship_Conv,Emissions,TechnoFriendly_globalLimit,0.006304284,0.006636605,0.006494536,0.000803364,,,,
CH,Transportation,CO2,PSNG_Air_Conv,Emissions,TechnoFriendly_globalLimit,0.335929191,0.325309157,0.293993937,0.005468087,,,,
CH,Transportation,CO2,PSNG_Rail_Conv,Emissions,TechnoFriendly_globalLimit,0.324916424,0.243068296,,,,,,
CH,Transportation,CO2,PSNG_Road_ICE,Emissions,TechnoFriendly_globalLimit,10.20173978,8.957767676,6.154544096,3.738164446,0.348031152,,,
CZ,Power,CO2,P_Coal_Hardcoal,Emissions,TechnoFriendly_globalLimit,3.422417778,2.826455498,1.616100449,0.314303673,,,,
CZ,Power,CO2,P_Coal_Lignite,Emissions,TechnoFriendly_globalLimit,24.56827886,19.35824385,11.06335539,2.150657845,,,,
CZ,Power,CO2,P_Gas,Emissions,TechnoFriendly_globalLimit,1.381684966,1.127561456,0.169936045,1.730081891,,,,
CZ,Industry,CO2,HLI_Gas_Boiler,Emissions,TechnoFriendly_globalLimit,2.409424041,2.468492415,2.523927698,2.198210972,1.24803003,,,
CZ,Industry,CO2,HLI_Hardcoal,Emissions,TechnoFriendly_globalLimit,0.05847279,0.052267514,0.002288779,0.001363797,0.000687912,,,
CZ,Industry,CO2,HLI_Lignite,Emissions,TechnoFriendly_globalLimit,0.188118379,0.168237468,0.007354141,0.004391299,0.002180402,,,
CZ,Industry,CO2,HLI_Oil_Boiler,Emissions,TechnoFriendly_globalLimit,0.099036148,0.018862096,0.004843432,0.002886017,0.001440336,,,
CZ,Industry,CO2,HMI_Gas,Emissions,TechnoFriendly_globalLimit,11.05404088,13.162585,10.92342803,7.893321436,3.303129432,,,
CZ,Industry,CO2,HMI_HardCoal,Emissions,TechnoFriendly_globalLimit,7.296733046,2.218512583,0.484810983,0.071469818,,,,
CZ,Industry,CO2,HMI_Oil,Emissions,TechnoFriendly_globalLimit,0.282338451,0.035812287,,,,,,
CZ,Industry,CO2,HHI_BF_BOF,Emissions,TechnoFriendly_globalLimit,13.70651519,12.67486566,11.17004912,4.126352309,1.357696691,0.209545838,,
CZ,Industry,CO2,HHI_DRI_EAF,Emissions,TechnoFriendly_globalLimit,0.289884394,,0.052735455,0.076490957,0.047290354,,,
CZ,Buildings,CO2,HLR_Gas_Boiler,Emissions,TechnoFriendly_globalLimit,13.28754313,12.83624305,12.91453391,5.405481248,3.236877877,,,
CZ,Buildings,CO2,HLR_Hardcoal,Emissions,TechnoFriendly_globalLimit,3.234058667,2.202444515,0.238740013,0.093972097,0.046670505,,,
CZ,Buildings,CO2,HLR_Oil_Boiler,Emissions,TechnoFriendly_globalLimit,0.155361506,0.00382644,0.007600462,0.004528827,0.002248688,,,
CZ,Transportation,CO2,FRT_Rail_Conv,Emissions,TechnoFriendly_globalLimit,0.92562641,0.743801798,,,,,,
CZ,Transportation,CO2,FRT_Road_ICE,Emissions,TechnoFriendly_globalLimit,45.91077955,46.80594426,34.87742388,20.74850032,0.113434838,,,
CZ,Transportation,CO2,FRT_Road_PHEV,Emissions,TechnoFriendly_globalLimit,,0.493576085,0.648158366,1.724660701,1.697973384,,,
CZ,Transportation,CO2,FRT_Ship_Conv,Emissions,TechnoFriendly_globalLimit,0.047582741,0.050090997,0.051621595,,,,,
CZ,Transportation,CO2,PSNG_Air_Conv,Emissions,TechnoFriendly_globalLimit,0.102740397,0.099492372,0.089914943,0.009735098,,,,
CZ,Transportation,CO2,PSNG_Rail_Conv,Emissions,TechnoFriendly_globalLimit,0.284718269,0.213400432,,,,,,
CZ,Transportation,CO2,PSNG_Road_ICE,Emissions,TechnoFriendly_globalLimit,9.691202395,8.510780996,5.847436418,3.551632514,0.330664628,,,
DE,Power,CO2,P_Coal_Hardcoal,Emissions,TechnoFriendly_globalLimit,62.44326528,51.56971531,29.48634433,5.734585587,,,,
DE,Power,CO2,P_Coal_Lignite,Emissions,TechnoFriendly_globalLimit,102.9708274,81.13447418,46.36885086,9.013859665,,,,
DE,Power,CO2,P_Gas,Emissions,TechnoFriendly_globalLimit,20.76063683,16.94228024,1.400700423,6.576651314,1.162517615,,,
DE,Power,CO2,P_Oil,Emissions,TechnoFriendly_globalLimit,2.311496211,1.951405985,,,,,,
DE,Power,CO2,HLR_Hardcoal_CHP,Emissions,TechnoFriendly_globalLimit,27.80141419,23.47044559,13.71158183,2.723403839,,,,
DE,Power,CO2,HLR_Lignite_CHP,Emissions,TechnoFriendly_globalLimit,8.132129032,6.865287163,4.01074391,0.796616722,,,,
DE,Power,CO2,HLI_Biomass_CHP_CCS,Emissions,TechnoFriendly_globalLimit,,,,,,,,-8.419700426
DE,Power,CO2,P_Coal_Hardcoal_CCS,Emissions,TechnoFriendly_globalLimit,,,,,,2.83664E-14,,
DE,Power,CO2,P_Gas_CCS,Emissions,TechnoFriendly_globalLimit,,,,,,-2.23967E-15,,
