Region,Category,Technology,Mode,Fuel,Timeslice,Type,Unit,Scenario,2015,2020,2025,2030,2035,2040,2045,2050
DolAmroth,Power,P_Coal_Hardcoal,1,Power,1228,Production,PJ,MiddleEarth_globalLimit,0.742010011,0.194385941,0.144278741,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,1472,Production,PJ,MiddleEarth_globalLimit,,0.194385941,0.144278741,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,1716,Production,PJ,MiddleEarth_globalLimit,0.742010011,0.194385941,0.138553992,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,1960,Production,PJ,MiddleEarth_globalLimit,,0.194385941,0.144278741,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,2204,Production,PJ,MiddleEarth_globalLimit,,0.054428063,0.144278741,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,2448,Production,PJ,MiddleEarth_globalLimit,0.742010011,0.194385941,,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,2692,Production,PJ,MiddleEarth_globalLimit,,0.194385941,,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,2936,Production,PJ,MiddleEarth_globalLimit,,0.194385941,0.144278741,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,3180,Production,PJ,MiddleEarth_globalLimit,0.742010011,0.194385941,0.144278741,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,3424,Production,PJ,MiddleEarth_globalLimit,,0.194385941,,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,3668,Production,PJ,MiddleEarth_globalLimit,,0.194385941,0.144278741,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,3912,Production,PJ,MiddleEarth_globalLimit,,0.194385941,0.144278741,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,4156,Production,PJ,MiddleEarth_globalLimit,0.742010011,0.194385941,0.144278741,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,4400,Production,PJ,MiddleEarth_globalLimit,,0.194385941,0.144278741,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,4644,Production,PJ,MiddleEarth_globalLimit,,0.194385941,,0.144278741,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,4888,Production,PJ,MiddleEarth_globalLimit,0.742010011,0.194385941,0.144278741,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,5132,Production,PJ,MiddleEarth_globalLimit,,0.194385941,0.144278741,0.144278741,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,5376,Production,PJ,MiddleEarth_globalLimit,,0.194385941,0.144278741,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,5620,Production,PJ,MiddleEarth_globalLimit,,0.194385941,0.144278741,0.144278741,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,5864,Production,PJ,MiddleEarth_globalLimit,0.742010011,0.194385941,0.144278741,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,6108,Production,PJ,MiddleEarth_globalLimit,0.742010011,0.194385941,0.144278741,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,6352,Production,PJ,MiddleEarth_globalLimit,,0.194385941,0.144278741,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,6596,Production,PJ,MiddleEarth_globalLimit,,0.194385941,0.144278741,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,6840,Production,PJ,MiddleEarth_globalLimit,,0.194385941,0.144278741,0.085422295,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,7084,Production,PJ,MiddleEarth_globalLimit,,0.194385941,0.144278741,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,7328,Production,PJ,MiddleEarth_globalLimit,0.742010011,0.194385941,0.144278741,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,7572,Production,PJ,MiddleEarth_globalLimit,,0.194385941,0.144278741,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,7816,Production,PJ,MiddleEarth_globalLimit,0.742010011,0.194385941,,0.144278741,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,8060,Production,PJ,MiddleEarth_globalLimit,,0.194385941,,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,8304,Production,PJ,MiddleEarth_globalLimit,,0.194385941,0.144278741,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Power,8548,Production,PJ,MiddleEarth_globalLimit,,0.194385941,0.144278741,0.144278741,,,,
DolAmroth,Power,P_Gas,1,Gas_Natural,8060,Use,PJ,MiddleEarth_globalLimit,,,,,,-0.172733684,,-0.020546745
DolAmroth,Power,P_Gas,1,Power,8060,Production,PJ,MiddleEarth_globalLimit,,,,,,0.110865831,,0.013591672
DolAmroth,Power,P_Oil,1,Oil,8,Use,PJ,MiddleEarth_globalLimit,-2.847182208,,,,,,,
DolAmroth,Power,P_Oil,1,Oil,1960,Use,PJ,MiddleEarth_globalLimit,,-1.691093879,,,,,,
DolAmroth,Power,P_Oil,1,Oil,4156,Use,PJ,MiddleEarth_globalLimit,-0.370005144,,,,,,,
DolAmroth,Power,P_Oil,1,Oil,4400,Use,PJ,MiddleEarth_globalLimit,,-1.261009521,,,,,,
DolAmroth,Power,P_Oil,1,Oil,6352,Use,PJ,MiddleEarth_globalLimit,-2.282812648,,,,,,,
DolAmroth,Power,P_Oil,1,Oil,7816,Use,PJ,MiddleEarth_globalLimit,,-1.691093879,,,,,,
DolAmroth,Power,P_Oil,1,Power,8,Production,PJ,MiddleEarth_globalLimit,1.081929239,,,,,,,
DolAmroth,Power,P_Oil,1,Power,1960,Production,PJ,MiddleEarth_globalLimit,,0.647017151,,,,,,
DolAmroth,Power,P_Oil,1,Power,4156,Production,PJ,MiddleEarth_globalLimit,0.140601955,,,,,,,
