Region,Category,Technology,Type,Scenario,Year,Value,2025,2030,2035,2040,2045,2050
DolAmroth,Industry,HLI_Gas_Boiler,TotalCapacity,MiddleEarth_globalLimit,6.255288,5.629832,4.363216,2.617992,2.124651157,1.905087416,1.740074935,1.635346935
DolAmroth,Industry,HLI_Gas_CHP,NewCapacity,MiddleEarth_globalLimit,,,1.308037759,1.38062123,0.481762764,,,
DolAmroth,Industry,HLI_Gas_CHP,TotalCapacity,MiddleEarth_globalLimit,,,1.308037759,2.688658989,3.170421752,3.170421752,3.170421752,3.170421752
DolAmroth,Industry,HLI_Biomass,NewCapacity,MiddleEarth_globalLimit,,,,,,0.0884364,0.03784534,
DolAmroth,Industry,HLI_Biomass,ResidualCapacity,MiddleEarth_globalLimit,0.93964,0.845728,0.655512,0.393328,0.196664,0.078728,0.015808,
DolAmroth,Industry,HLI_Biomass,TotalCapacity,MiddleEarth_globalLimit,0.93964,0.845728,0.655512,0.393328,0.196664,0.1671644,0.14208974,0.12628174
DolAmroth,Industry,HLI_Hardcoal,ResidualCapacity,MiddleEarth_globalLimit,0.057512,0.051792,0.040144,0.024128,0.012064,0.004888,0.00104,
DolAmroth,Industry,HLI_Hardcoal,TotalCapacity,MiddleEarth_globalLimit,0.057512,0.051792,0.040144,0.024128,0.012064,0.004888,0.00104,
DolAmroth,Industry,HLI_Direct_Electric,NewCapacity,MiddleEarth_globalLimit,,,,0.004813558,0.005959966,0.014452092,,
DolAmroth,Industry,HLI_Direct_Electric,ResidualCapacity,MiddleEarth_globalLimit,0.045656,0.041184,0.031928,0.01924,0.009672,0.003952,0.000832,
DolAmroth,Industry,HLI_Direct_Electric,TotalCapacity,MiddleEarth_globalLimit,0.045656,0.041184,0.031928,0.024053558,0.020445524,0.029177616,0.026057616,0.025225616
DolAmroth,Industry,HLI_Oil_Boiler,ResidualCapacity,MiddleEarth_globalLimit,0.293072,0.263848,0.204568,0.122824,0.061464,0.024648,0.004992,
DolAmroth,Industry,HLI_Oil_Boiler,TotalCapacity,MiddleEarth_globalLimit,0.293072,0.263848,0.204568,0.122824,0.061464,0.024648,0.004992,
DolAmroth,Industry,HMI_Gas,NewCapacity,MiddleEarth_globalLimit,,,,2.368411653,2.494085688,,,
DolAmroth,Industry,HMI_Gas,ResidualCapacity,MiddleEarth_globalLimit,17.717752,15.946008,12.358216,7.414992,3.707496,1.48304,0.296608,
DolAmroth,Industry,HMI_Gas,TotalCapacity,MiddleEarth_globalLimit,17.717752,15.946008,12.358216,9.783403653,8.569993342,6.345537342,5.159105342,4.862497342
DolAmroth,Industry,HMI_Biomass,NewCapacity,MiddleEarth_globalLimit,,0.094848,2.515432261,1.346663001,0.130848929,1.242574267,1.081938916,
DolAmroth,Industry,HMI_Biomass,ResidualCapacity,MiddleEarth_globalLimit,0.949312,0.854464,0.662272,0.397384,0.198744,0.07956,0.015912,
DolAmroth,Industry,HMI_Biomass,TotalCapacity,MiddleEarth_globalLimit,0.949312,0.949312,3.272552261,4.354327262,4.28653619,5.409926457,6.428217373,6.412305373
DolAmroth,Industry,HMI_HardCoal,ResidualCapacity,MiddleEarth_globalLimit,0.136136,0.122616,0.095056,0.057096,0.0286,0.01144,0.002288,
DolAmroth,Industry,HMI_HardCoal,TotalCapacity,MiddleEarth_globalLimit,0.136136,0.122616,0.095056,0.057096,0.0286,0.01144,0.002288,
DolAmroth,Industry,HMI_Steam_Electric,NewCapacity,MiddleEarth_globalLimit,,0.001144,0.001562171,0.002214304,0.957005059,1.017789801,,2.184079847
DolAmroth,Industry,HMI_Steam_Electric,ResidualCapacity,MiddleEarth_globalLimit,0.011544,0.0104,0.008112,0.004888,0.002496,0.00104,,
DolAmroth,Industry,HMI_Steam_Electric,TotalCapacity,MiddleEarth_globalLimit,0.011544,0.011544,0.010818171,0.009808475,0.964421534,1.980755335,1.979715335,4.163795182
DolAmroth,Industry,HMI_Oil,ResidualCapacity,MiddleEarth_globalLimit,0.180128,0.162136,0.125736,0.075504,0.037752,0.015184,0.00312,
DolAmroth,Industry,HMI_Oil,TotalCapacity,MiddleEarth_globalLimit,0.180128,0.162136,0.125736,0.075504,0.037752,0.015184,0.00312,
DolAmroth,Industry,HHI_BF_BOF,ResidualCapacity,MiddleEarth_globalLimit,7.985328,7.186816,5.569824,3.341936,1.670968,0.668408,0.133744,
DolAmroth,Industry,HHI_BF_BOF,TotalCapacity,MiddleEarth_globalLimit,7.985328,7.186816,5.569824,3.341936,1.670968,0.668408,0.133744,
DolAmroth,Industry,HHI_DRI_EAF,ResidualCapacity,MiddleEarth_globalLimit,0.846872,0.762216,0.59072,0.354432,0.177216,0.070928,0.014248,
DolAmroth,Industry,HHI_DRI_EAF,TotalCapacity,MiddleEarth_globalLimit,0.846872,0.762216,0.59072,0.354432,0.177216,0.070928,0.014248,
DolAmroth,Industry,HHI_Scrap_EAF,NewCapacity,MiddleEarth_globalLimit,,0.267305833,0.038584,1.73819472,1.338647473,0.391676106,,
DolAmroth,Industry,HHI_Scrap_EAF,ResidualCapacity,MiddleEarth_globalLimit,0.190528,0.171496,0.132912,0.079768,0.039936,0.016016,0.003224,
DolAmroth,Industry,HHI_Scrap_EAF,TotalCapacity,MiddleEarth_globalLimit,0.190528,0.438801833,0.438801833,2.123852554,3.422668027,3.790424133,3.510326299,3.468518299
DolAmroth,Industry,HHI_Molten_Electrolysis,NewCapacity,MiddleEarth_globalLimit,,,,,,0.190975375,0.376979674,0.178246176
DolAmroth,Industry,HHI_Molten_Electrolysis,TotalCapacity,MiddleEarth_globalLimit,,,,,,0.190975375,0.567955049,0.746201226
DolAmroth,Industry,HLI_H2_Boiler,NewCapacity,MiddleEarth_globalLimit,,,,,0.090113224,0.062916151,0.034021702,0.074551951
DolAmroth,Industry,HLI_H2_Boiler,TotalCapacity,MiddleEarth_globalLimit,,,,,0.090113224,0.153029374,0.187051077,0.261603028
DolAmroth,Buildings,HLR_Gas_Boiler,NewCapacity,MiddleEarth_globalLimit,,,,5.39855568,3.790540601,0.422378386,,
DolAmroth,Buildings,HLR_Gas_Boiler,ResidualCapacity,MiddleEarth_globalLimit,22.696752,20.42716,15.831088,9.498736,4.749368,1.899768,0.380016,
DolAmroth,Buildings,HLR_Gas_Boiler,TotalCapacity,MiddleEarth_globalLimit,22.696752,20.42716,15.831088,14.89729168,13.93846428,11.51124267,9.991490667,9.611474667
DolAmroth,Buildings,HLR_Biomass,NewCapacity,MiddleEarth_globalLimit,,,,,0.027352122,0.199009182,0.083316204,
DolAmroth,Buildings,HLR_Biomass,ResidualCapacity,MiddleEarth_globalLimit,2.156648,1.941056,1.50436,0.902616,0.45136,0.180544,0.036192,
DolAmroth,Buildings,HLR_Biomass,TotalCapacity,MiddleEarth_globalLimit,2.156648,1.941056,1.50436,0.902616,0.478712122,0.406905304,0.345869508,0.309677508
