Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050
GradualDevelopment,Hydro,4.77,4.77,4.77,4.77, 4.77, 4.77, 4.77, 4.770
GradualDevelopment,PV,0.00,0.00,0.00,0.00, 1.18, 2.93, 3.46, 3.535
GradualDevelopment,Thermal,0.56,0.51,0.46,0.43, 0.41, 0.36, 0.36, 0.025
GradualDevelopment,Wind Offshore,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.000
GradualDevelopment,Wind Onshore,1.79,1.79,3.31,4.66, 4.59, 4.54, 4.33, 4.310
GradualDevelopment,Sum,7.11,7.07,8.54,9.86,10.95,12.60,12.92,12.640
