Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050,Region
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.78,12.29,FR
GradualDevelopment,Wind Onshore,9.74,9.74,59.13,57.97,56.69,138.31,162.5,141.33,FR
GradualDevelopment,Sum,120.77,117.67,200.6,220.51,287.28,403.03,493.47,476.1,FR
GradualDevelopment,Hydro,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,GR
GradualDevelopment,PV,3.12,10.25,12.72,21.32,46.48,62.2,73.03,88.96,GR
GradualDevelopment,Thermal,10.76,8.69,7.49,6.53,6.11,4.8,3.2,0.94,GR
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,5.15,17.02,17.02,GR
GradualDevelopment,Wind Onshore,2.13,2.45,13.62,24.42,47.07,46.88,46.71,39.85,GR
GradualDevelopment,Sum,19.41,24.78,37.23,55.67,103.06,122.42,143.36,150.16,GR
GradualDevelopment,Hydro,2.2,2.19,3.12,4.36,4.31,4.31,4.31,4.315,HR
GradualDevelopment,PV,0.0,0.0,2.52,4.02,5.05,6.48,7.73,7.739,HR
GradualDevelopment,Thermal,2.3,1.43,0.97,0.86,0.8,0.51,0.35,0.013,HR
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HR
GradualDevelopment,Wind Onshore,0.4,0.4,0.4,0.39,0.31,0.26,0.26,0.26,HR
GradualDevelopment,Sum,4.9,4.02,7.02,9.63,10.47,11.56,12.65,12.327,HR
GradualDevelopment,Hydro,0.05,0.05,0.082,0.11,0.11,0.11,0.11,0.11,HU
GradualDevelopment,PV,0.032,0.032,5.086,9.63,10.14,15.16,20.22,25.27,HU
GradualDevelopment,Thermal,7.594,6.557,7.112,9.55,14.13,11.77,11.0,10.61,HU
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HU
GradualDevelopment,Wind Onshore,0.33,0.33,3.161,3.14,3.09,7.11,20.07,18.11,HU
GradualDevelopment,Sum,8.006,6.968,15.441,22.44,27.47,34.16,51.4,54.1,HU
GradualDevelopment,Hydro,0.53,0.523,0.523,0.477,0.45,0.45,0.43,0.414,IE
GradualDevelopment,PV,0.0,0.0,0.0,0.0,0.0,3.02,6.55,10.583,IE
GradualDevelopment,Thermal,6.541,5.322,4.575,4.528,4.09,3.12,1.94,0.036,IE
GradualDevelopment,Wind Offshore,0.025,0.025,0.025,0.021,33.95,67.86,67.86,67.86,IE
GradualDevelopment,Wind Onshore,2.683,3.391,12.261,24.001,26.16,25.89,25.88,24.606,IE
GradualDevelopment,Sum,9.779,9.26,17.384,29.026,64.65,100.35,102.66,103.498,IE
GradualDevelopment,Hydro,22.47,22.47,22.47,22.47,22.47,22.47,22.47,22.47,IT
GradualDevelopment,PV,19.6,16.58,48.69,69.53,104.17,161.48,164.28,165.12,IT
GradualDevelopment,Thermal,71.7,64.61,61.58,58.27,45.03,37.62,19.98,4.81,IT
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IT
GradualDevelopment,Wind Onshore,10.5,10.25,9.81,8.34,24.41,64.56,64.56,64.56,IT
GradualDevelopment,Sum,124.27,113.91,142.55,158.61,196.08,286.14,271.29,256.97,IT
GradualDevelopment,Hydro,1.029,1.029,1.029,1.03,1.03,1.03,1.03,1.03,LT
GradualDevelopment,PV,0.071,0.071,0.071,2.95,5.36,8.57,9.2,9.79,LT
GradualDevelopment,Thermal,1.819,1.149,0.517,0.37,0.37,0.36,0.35,0.25,LT
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,1.7,1.9,1.9,LT
GradualDevelopment,Wind Onshore,0.5,0.5,0.783,3.1,4.02,5.79,5.79,5.51,LT
GradualDevelopment,Sum,3.419,2.749,2.401,7.45,10.78,17.46,18.27,18.47,LT
GradualDevelopment,Hydro,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.2496,LU
GradualDevelopment,PV,0.11,0.11,0.56,1.43,2.32,4.2,4.22,4.2159,LU
GradualDevelopment,Thermal,0.55,0.55,0.54,0.53,0.5,0.46,0.01,0.0087,LU
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LU
GradualDevelopment,Wind Onshore,0.06,0.06,0.42,1.12,1.47,1.47,1.47,1.4733,LU
GradualDevelopment,Sum,1.98,1.97,2.77,4.33,5.55,7.39,6.95,6.9475,LU
GradualDevelopment,Hydro,1.59,2.57,2.63,3.66,3.665,3.611,3.611,3.611,LV
GradualDevelopment,PV,0.0,0.0,0.0,1.5,2.478,7.141,13.0,13.0,LV
GradualDevelopment,Thermal,1.27,1.23,1.17,1.16,1.132,1.116,0.956,0.499,LV
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.554,3.118,6.11,6.11,LV
GradualDevelopment,Wind Onshore,0.14,0.14,0.12,0.1,0.094,0.094,0.094,0.094,LV
GradualDevelopment,Sum,3.0,3.94,3.92,6.43,7.923,15.08,23.773,23.315,LV
GradualDevelopment,Hydro,0.038,0.038,0.063,0.087,0.087,0.087,0.087,0.087,NL
GradualDevelopment,PV,2.01,1.214,9.021,23.492,38.732,55.257,55.655,57.024,NL
GradualDevelopment,Thermal,28.799,26.805,24.084,21.105,16.389,11.485,8.719,5.403,NL
GradualDevelopment,Wind Offshore,0.378,0.372,0.346,0.346,9.991,34.734,39.884,40.51,NL
GradualDevelopment,Wind Onshore,3.065,2.721,7.567,12.313,12.0,11.734,11.734,10.2,NL
GradualDevelopment,Sum,34.29,31.149,41.081,57.343,77.199,113.297,116.079,113.224,NL
GradualDevelopment,Hydro,3.705,3.705,3.705,3.705,3.705,3.705,3.7,3.7048,NO1
GradualDevelopment,PV,0.0,0.0,0.394,1.576,2.364,3.869,3.87,3.8703,NO1
GradualDevelopment,Thermal,0.094,0.086,0.078,0.072,0.069,0.061,0.06,0.0042,NO1
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO1
GradualDevelopment,Wind Onshore,0.209,0.209,2.115,4.23,4.23,4.23,4.23,4.2298,NO1
GradualDevelopment,Sum,4.007,4.0,6.292,9.583,10.368,11.864,11.87,11.8092,NO1
GradualDevelopment,Hydro,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.305,NO2
GradualDevelopment,PV,0.0,0.0,0.37,1.48,2.23,3.67,3.67,3.669,NO2
GradualDevelopment,Thermal,0.49,0.45,0.41,0.37,0.36,0.31,0.31,0.022,NO2
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,5.92,6.03,6.029,NO2
GradualDevelopment,Wind Onshore,1.29,1.29,2.28,3.98,3.98,3.69,3.43,3.431,NO2
GradualDevelopment,Sum,13.08,13.04,14.37,17.15,17.87,24.89,24.75,24.456,NO2
GradualDevelopment,Hydro,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,NO3
GradualDevelopment,PV,0.0,0.0,0.0,0.0,1.18,2.93,3.46,3.535,NO3
GradualDevelopment,Thermal,0.56,0.51,0.46,0.43,0.41,0.36,0.36,0.025,NO3
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO3
GradualDevelopment,Wind Onshore,1.79,1.79,3.31,4.66,4.59,4.54,4.33,4.31,NO3
GradualDevelopment,Sum,7.11,7.07,8.54,9.86,10.95,12.6,12.92,12.64,NO3
GradualDevelopment,Hydro,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.178,NO4
GradualDevelopment,PV,0.0,0.0,0.0,0.0,0.0,2.12,3.89,4.245,NO4
GradualDevelopment,Thermal,0.32,0.3,0.27,0.25,0.24,0.21,0.21,0.015,NO4
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO4
GradualDevelopment,Wind Onshore,0.69,0.69,3.38,5.59,5.98,6.19,6.11,6.011,NO4
GradualDevelopment,Sum,6.2,6.17,8.83,11.01,11.4,13.7,15.4,15.448,NO4
GradualDevelopment,Hydro,8.07,8.07,8.07,8.07,8.071,8.07,8.07,8.071,NO5
GradualDevelopment,PV,0.0,0.0,0.0,0.18,0.737,1.11,1.11,1.106,NO5
GradualDevelopment,Thermal,0.29,0.27,0.24,0.22,0.213,0.19,0.19,0.013,NO5
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.016,3.3,3.3,3.374,NO5
GradualDevelopment,Wind Onshore,0.0,0.0,0.99,1.98,1.979,1.98,1.98,1.83,NO5
GradualDevelopment,Sum,8.36,8.34,9.3,10.46,11.017,14.64,14.64,14.395,NO5
GradualDevelopment,Hydro,8.033,8.033,8.03,9.19,9.19,9.19,9.19,9.19,an
GradualDevelopment,PV,0.019,0.019,10.69,10.89,23.26,56.95,75.91,80.61,an
GradualDevelopment,Thermal,9.158,9.158,9.16,9.74,10.33,10.33,10.33,10.33,an
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,an
GradualDevelopment,Wind Onshore,2.813,2.813,4.89,11.12,16.78,53.5,65.2,63.12,an
GradualDevelopment,Sum,20.023,20.023,32.77,40.94,59.56,129.96,160.62,163.24,an
GradualDevelopment,Hydro,3.35,3.296,3.26,3.24,3.23,3.19,3.1,3.1,PL
GradualDevelopment,PV,0.025,0.025,11.93,41.4,67.62,101.4,135.2,136.13,PL
GradualDevelopment,Thermal,31.324,23.758,20.83,20.65,19.2,17.92,15.92,14.48,PL
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PL
GradualDevelopment,Wind Onshore,5.1,17.954,30.23,41.03,62.27,87.63,87.09,87.09,PL
GradualDevelopment,Sum,39.799,45.034,66.25,106.32,152.33,210.15,241.31,240.81,PL
GradualDevelopment,Hydro,6.71,6.69,10.03,14.38,15.3,15.28,15.2,15.18,PT
GradualDevelopment,PV,9.47,9.47,14.92,21.79,27.21,43.17,47.89,48.29,PT
GradualDevelopment,Thermal,7.52,6.98,6.32,5.88,5.44,3.54,2.11,0.84,PT
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT
GradualDevelopment,Wind Onshore,4.94,5.39,15.89,26.21,25.59,36.09,36.09,35.65,PT
GradualDevelopment,Sum,28.64,28.52,47.15,68.26,73.54,98.08,101.28,99.95,PT
GradualDevelopment,Hydro,6.39,8.51,10.42,14.56,14.56,14.56,14.56,14.56,RO
GradualDevelopment,PV,2.0,2.0,8.31,8.94,24.02,52.32,87.5,87.65,RO
GradualDevelopment,Thermal,9.58,6.08,5.56,7.13,12.25,12.03,12.02,10.89,RO
GradualDevelopment,Wind Offshore,0.63,0.51,0.43,0.37,0.31,0.28,0.28,0.24,RO
GradualDevelopment,Wind Onshore,3.3,3.3,3.3,3.3,2.8,2.38,4.42,4.42,RO
GradualDevelopment,Sum,21.9,20.4,28.02,34.3,53.95,81.57,118.76,117.74,RO
GradualDevelopment,Hydro,16.2,16.2,16.2,23.49,25.81,25.81,25.81,25.81,SE
GradualDevelopment,PV,0.0,0.0,0.0,0.0,9.3,27.9,37.2,38.19,SE
GradualDevelopment,Thermal,18.9,13.97,11.54,12.88,8.27,7.84,7.55,6.26,SE
GradualDevelopment,Wind Offshore,0.2,0.2,0.18,0.18,0.16,0.13,0.13,0.13,SE
GradualDevelopment,Wind Onshore,6.8,6.65,26.55,33.3,45.67,44.89,44.89,44.89,SE
GradualDevelopment,Sum,42.1,37.02,54.47,69.86,89.2,106.58,115.58,115.28,SE
GradualDevelopment,Hydro,1.253,1.2499,1.7674,2.4644,2.4639,2.4117,2.3957,2.3703,SI
GradualDevelopment,PV,0.268,0.1043,1.3292,1.3292,2.5384,2.7871,2.8735,2.9986,SI
GradualDevelopment,Thermal,2.135,1.3998,1.5293,2.4885,4.4259,4.4224,4.366,4.3038,SI
GradualDevelopment,Wind Offshore,0.006,0.0048,0.0033,0.0028,0.0024,0.0021,0.0021,0.0021,SI
GradualDevelopment,Wind Onshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
GradualDevelopment,Sum,3.662,2.7588,4.6292,6.2849,9.4307,9.6233,9.6372,9.6748,SI
GradualDevelopment,Hydro,2.5352,2.5345,2.5856,3.6048,3.6045,3.5855,3.5855,3.5539,SK
GradualDevelopment,PV,0.534,0.5162,4.3292,8.1423,8.292,11.7739,15.2522,15.4631,SK
GradualDevelopment,Thermal,4.5091,3.7097,3.9244,6.1589,9.6794,9.294,9.2259,8.0305,SK
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SK
GradualDevelopment,Wind Onshore,0.0031,0.0031,0.0031,0.0023,0.0023,0.0023,0.0023,0.0023,SK
GradualDevelopment,Sum,7.5815,6.7636,10.8424,17.9083,21.5782,24.6556,28.0658,27.0497,SK
GradualDevelopment,Hydro,25.9,25.9,27.21,47.62,47.62,47.62,47.62,47.62,TR
GradualDevelopment,PV,0.2,8.82,55.22,95.72,229.81,325.33,384.6,403.95,TR
GradualDevelopment,Thermal,43.11,38.84,35.82,33.14,31.5,30.66,27.26,14.4,TR
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,TR
GradualDevelopment,Wind Onshore,4.5,4.5,24.68,82.44,234.15,303.42,303.42,294.84,TR
GradualDevelopment,Sum,73.71,78.06,142.93,258.92,543.09,707.03,775.9,773.8,TR
GradualDevelopment,Hydro,1.12,1.11,1.84,2.51,2.43,2.4,2.4,2.08,UK
GradualDevelopment,PV,0.0,0.0,0.0,33.16,73.44,106.6,132.64,134.91,UK
GradualDevelopment,Thermal,61.9,52.65,48.55,55.59,65.24,49.58,40.99,36.11,UK
GradualDevelopment,Wind Offshore,4.32,4.32,4.32,4.12,3.5,42.9,86.54,86.54,UK
GradualDevelopment,Wind Onshore,4.89,33.37,79.27,111.0,155.25,184.17,184.06,184.06,UK
GradualDevelopment,Sum,72.23,91.45,133.98,206.38,299.87,385.65,446.63,443.69,UK
