Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050
SocietalCommitment_globalLimit,HLI_Biomass_CHP_CCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
SocietalCommitment_globalLimit,Hydro,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.2496
SocietalCommitment_globalLimit,PV Rooftop,0.00,0.00,1.21,1.21,1.21,1.21,1.21,1.2150
SocietalCommitment_globalLimit,PV Utility,0.11,0.11,0.56,1.43,2.31,2.77,2.79,2.7865
SocietalCommitment_globalLimit,Thermal,0.55,0.55,0.54,0.53,0.50,0.46,0.01,0.0087
SocietalCommitment_globalLimit,Wind Offshore,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
SocietalCommitment_globalLimit,Wind Onshore,0.06,0.06,0.42,0.98,1.34,1.47,1.47,1.4733
SocietalCommitment_globalLimit,Sum,1.98,1.97,3.99,5.40,6.61,7.17,6.73,6.7331
