Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050
SocietalCommitment_globalLimit,HLI_Biomass_CHP_CCS, 0.00, 0.00, 0.00, 0.00, 0.00,  0.00,  0.00,  0.00
SocietalCommitment_globalLimit,Hydro, 6.71,11.05,11.03,15.38,15.30, 15.28, 15.20, 15.18
SocietalCommitment_globalLimit,PV Rooftop, 0.00,16.81,16.81,16.81,20.24, 42.97, 41.83, 42.03
SocietalCommitment_globalLimit,PV Utility, 9.47,14.92,14.92,14.91,18.94, 20.39, 21.79, 21.79
SocietalCommitment_globalLimit,Thermal, 7.52, 6.98, 6.32, 5.88, 5.45,  3.55,  2.11,  0.84
SocietalCommitment_globalLimit,Wind Offshore, 0.00, 0.00, 0.00, 0.00, 0.00,  0.00,  0.00,  0.00
SocietalCommitment_globalLimit,Wind Onshore, 4.94,15.99,25.54,26.21,31.53, 31.16, 31.15, 31.15
SocietalCommitment_globalLimit,Sum,28.64,65.74,74.61,79.19,91.46,113.34,112.07,110.98
