Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050
GradualDevelopment,Hydro, 6.39, 8.51,10.42,14.56,14.56,14.56, 14.56, 14.56
GradualDevelopment,PV, 2.00, 2.00, 8.31, 8.94,24.02,52.32, 87.50, 87.65
GradualDevelopment,Thermal, 9.58, 6.08, 5.56, 7.13,12.25,12.03, 12.02, 10.89
GradualDevelopment,Wind Offshore, 0.63, 0.51, 0.43, 0.37, 0.31, 0.28,  0.28,  0.24
GradualDevelopment,Wind Onshore, 3.30, 3.30, 3.30, 3.30, 2.80, 2.38,  4.42,  4.42
GradualDevelopment,Sum,21.90,20.40,28.02,34.30,53.95,81.57,118.76,117.74
