Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050
SocietalCommitment_globalLimit,HLI_Biomass_CHP_CCS, 0.00, 0.00, 0.00, 0.00, 0.00,  0.00,  0.00,  0.00
SocietalCommitment_globalLimit,Hydro, 3.40, 3.40, 3.40, 3.40, 3.40,  3.40,  3.40,  3.40
SocietalCommitment_globalLimit,PV Rooftop, 0.00, 0.00, 0.00, 0.00, 3.98, 57.98, 57.98, 57.98
SocietalCommitment_globalLimit,PV Utility, 3.12,14.90,14.90,17.38,35.08, 38.62, 38.49, 51.62
SocietalCommitment_globalLimit,Thermal,10.76, 8.69, 7.49, 6.53, 6.11,  4.80,  3.20,  0.94
SocietalCommitment_globalLimit,Wind Offshore, 0.00, 0.00, 0.00, 0.00, 0.00,  3.47,  3.61,  3.61
SocietalCommitment_globalLimit,Wind Onshore, 2.13, 3.95,18.77,23.13,45.78, 46.88, 46.71, 39.85
SocietalCommitment_globalLimit,Sum,19.41,30.94,44.55,50.44,94.34,155.15,153.39,157.40
